traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
23.0,2024-01-01T22:00Z,,Kensington,3238.0,115.94769345518246,2.0,Medium,Dry,2728.0
24.0,TBD,,Southwark,328.0,36.22792005256447,9.0,Medium,Damaged,44453.0
25.0,TBD,,Chelsea,1519.0,26.718334814329623,6.0,High,Snowy,8989.0
26.0,2024-01-02 01:00,,Chelsea,1947.0,103.99840324312588,0.0,Low,Snowy,8972.0
27.0,2024-01-02 02:00,London,Southwark,2291.0,14.372660732876719,0.0,Low,Snowy,8168.0
28.0,2099-00-00 99:99,,Southwark,29114.0,98.09764270685434,5.0,High,Snowy,2764.0
29.0,2024-01-02 04:00,,Chelsea,23506.0,83.41502682868949,3.0,,Wet,3845.0
30.0,02/01/2024 05AM,,Camden,1174.0,105.1689182918102,2.0,High,Wet,4418.0
31.0,2099-00-00 99:99,London,Chelsea,955.0,24.86584739045475,35.0,,,27369.0
32.0,2024-01-02T07:00Z,,Camden,4591.0,35.6830113700012,5.0,High,Wet,3082.0
33.0,2024-01-02 08:00,,Chelsea,4275.0,116.89409135898434,7.0,,,6402.0
34.0,02/01/2024 09AM,London,Southwark,4415.0,22.09931409728347,8.0,Low,Dry,8083.0
35.0,2024-01-02 10:00,,Camden,9.0,31.979667786049244,4.0,Medium,Dry,2012.0
36.0,TBD,,Southwark,131.0,97.67045150210691,6.0,High,,1336.0
37.0,TBD,,Islington,118.0,14.406619587258778,4.0,Low,Wet,7104.0
38.0,2024-01-02T13:00Z,,Chelsea,2100.0,52.48245492352433,,,Damaged,165.0
39.0,02/01/2024 02PM,London,Southwark,1126.0,52.07430341122052,6.0,Medium,Snowy,44513.0
40.0,02/01/2024 03PM,,Kensington,4536.0,81.94648958010045,8.0,High,Wet,2163.0
41.0,TBD,London,Camden,2866.0,69.4404206411632,4.0,High,Damaged,1714.0
42.0,2024-01-02 17:00,London,Islington,2352.0,113.58296461040129,2.0,High,Dry,2686.0
43.0,2024-01-02T18:00Z,London,,2244.0,118.45733970511083,0.0,High,Wet,6903.0
44.0,2099-00-00 99:99,London,Islington,4208.0,98.56332172727939,2.0,Medium,Damaged,1433.0
45.0,TBD,London,Chelsea,3631.0,62.767850055637524,4.0,High,Damaged,2439.0
46.0,2024-01-02 21:00,,Camden,761.0,,7.0,Low,Damaged,45043.0
47.0,2024-01-02T22:00Z,,Kensington,2740.0,14.596057826772952,6.0,Low,,3196.0
48.0,02/01/2024 11PM,,Kensington,349.0,,3.0,,Damaged,6522.0
49.0,TBD,,Southwark,4109.0,113.48833867542828,3.0,Medium,Wet,23788.0
50.0,2024-01-03 01:00,,,3413.0,35.324390037737054,0.0,High,Damaged,7488.0
51.0,2024-01-03 02:00,London,,813.0,80.13026403216375,4.0,,Damaged,4910.0
52.0,2024-01-03 03:00,,Chelsea,1912.0,93.34063553296924,1.0,,Dry,774.0
53.0,2024-01-03 04:00,,Chelsea,2832.0,-10.01839411555319,7.0,Medium,Dry,7176.0
54.0,2099-00-00 99:99,London,Kensington,459.0,67.94658280946757,7.0,Low,,
55.0,2099-00-00 99:99,,Islington,1110.0,106.7537726949644,2.0,Low,Damaged,6123.0
56.0,TBD,London,Kensington,1057.0,7.7330571868286535,2.0,Low,Damaged,4514.0
57.0,2024-01-03 08:00,London,Chelsea,3300.0,-15.437650039463172,6.0,Medium,Snowy,5138.0
58.0,,London,Chelsea,478.0,66.19892541931301,4.0,,Snowy,4942.0
59.0,2024-01-03T10:00Z,London,Islington,493.0,6.965992406054578,0.0,Medium,,4071.0
,03/01/2024 11AM,London,Camden,3261.0,6.439657017295963,6.0,,Wet,573.0
61.0,2024-01-03 12:00,,Chelsea,4934.0,33.79957224053909,8.0,,,6733.0
62.0,TBD,,Camden,1366.0,68.12807668240275,59.0,,Snowy,636.0
63.0,,London,Camden,3107.0,85.81666949537113,7.0,Low,Snowy,8258.0
,TBD,London,Camden,1399.0,34.920205968789666,5.0,High,Snowy,2326.0
65.0,TBD,,Southwark,4262.0,85.28411696951203,3.0,,Damaged,49399.0
66.0,03/01/2024 05PM,,,226.0,98.46781787904688,5.0,,,4988.0
67.0,2024-01-03T18:00Z,London,,235.0,-2.731003054021212,4.0,High,Wet,7817.0
68.0,03/01/2024 07PM,,Chelsea,4850.0,91.76818427061394,1.0,High,Wet,5049.0
69.0,2024-01-03 20:00,,Chelsea,516.0,61.02683635407293,4.0,,Snowy,1123.0
70.0,2024-01-03 21:00,,Southwark,1354.0,104.39677640772467,7.0,Medium,Dry,
71.0,03/01/2024 10PM,,Chelsea,7.0,70.25952268675172,8.0,Low,Dry,8911.0
72.0,TBD,,Southwark,1553.0,47.08403094451163,3.0,,Damaged,17629.0
73.0,04/01/2024 12AM,London,,3376.0,15.470476904901263,1.0,Medium,Wet,4104.0
74.0,04/01/2024 01AM,,Camden,3374.0,97.33771690620766,0.0,Low,Damaged,3811.0
75.0,TBD,London,Islington,3647.0,3.1957698141727118,2.0,Low,,559.0
76.0,2024-01-04T03:00Z,London,Chelsea,334.0,-4.012449613061003,3.0,High,,2912.0
77.0,2024-01-04 04:00,,Camden,599.0,,2.0,High,Snowy,4420.0
78.0,2024-01-04 05:00,,Southwark,544.0,38.665930050874884,,,,2724.0
79.0,2024-01-04 06:00,,Southwark,4800.0,,8.0,Low,Wet,1223.0
80.0,2024-01-04 07:00,,Camden,2802.0,23.767565814912263,4.0,Low,Damaged,1856.0
81.0,TBD,London,Chelsea,527.0,81.56871411737878,0.0,Low,Snowy,3077.0
,04/01/2024 09AM,,Islington,3517.0,98.27040307702262,9.0,,Wet,4322.0
83.0,TBD,London,Camden,4770.0,17.480196020054578,9.0,Medium,,4267.0
84.0,2024-01-04T11:00Z,London,Southwark,94.0,107.76938456275049,3.0,High,Wet,7641.0
85.0,2024-01-04T12:00Z,,,2578.0,79.76283610415041,7.0,Medium,Snowy,2476.0
86.0,TBD,London,Islington,2917.0,78.77691300754124,7.0,Medium,Dry,2823.0
87.0,2024-01-04T14:00Z,,,2094.0,106.32955489947868,5.0,Low,Wet,1983.0
88.0,2024-01-04T15:00Z,London,,153.0,22.005758497162702,3.0,Low,Dry,7460.0
89.0,,,Southwark,27428.0,52.099751629674124,26.0,Low,Damaged,641.0
90.0,2024-01-04T17:00Z,London,,194.0,21.383862373375568,4.0,Medium,Wet,5362.0
91.0,2099-00-00 99:99,London,Southwark,312.0,42.46865744354311,8.0,Medium,Snowy,5139.0
,2099-00-00 99:99,,Islington,2627.0,16.402980731136715,0.0,Medium,,6343.0
93.0,04/01/2024 08PM,London,Camden,875.0,104.6880336138506,6.0,High,Snowy,37764.0
94.0,2024-01-04T21:00Z,London,Camden,3960.0,24.168795088437633,1.0,,Wet,159.0
95.0,2099-00-00 99:99,,Kensington,4657.0,70.70544888131315,8.0,Medium,Dry,6660.0
96.0,2099-00-00 99:99,London,Islington,4474.0,64.35030149229989,3.0,Low,Dry,34062.0
97.0,2024-01-05 00:00,,Camden,915.0,4.256432012343883,5.0,Medium,Dry,986.0
98.0,2024-01-05 01:00,,Camden,101.0,46.29073063145088,5.0,Medium,,3462.0
99.0,2024-01-05 02:00,,Camden,2098.0,72.24305819883163,2.0,Low,Damaged,8120.0
100.0,2099-00-00 99:99,London,Islington,14978.0,82.64860586840722,7.0,,Snowy,5893.0
101.0,2024-01-05T04:00Z,,Kensington,351.0,,,Low,Dry,1177.0
102.0,,London,Chelsea,2206.0,62.976222367392204,3.0,Medium,,
103.0,05/01/2024 06AM,,Southwark,3058.0,58.6863255058237,0.0,,,2818.0
104.0,2024-01-05T07:00Z,London,Chelsea,1684.0,60.20407457835683,3.0,Low,Wet,7519.0
105.0,2099-00-00 99:99,,Southwark,3294.0,71.47580559790342,8.0,High,Damaged,29391.0
106.0,TBD,London,Islington,2151.0,16.87948475160872,1.0,High,Wet,5955.0
107.0,2024-01-05 10:00,London,Islington,1066.0,52.035956243405764,7.0,,Wet,6527.0
108.0,05/01/2024 11AM,London,Southwark,14.0,43.00414126962304,3.0,,Snowy,8864.0
109.0,2024-01-05 12:00,,,4405.0,89.89209477437441,9.0,High,Dry,6636.0
110.0,2024-01-05 13:00,London,Camden,29861.0,119.1823125098958,,Low,Damaged,7953.0
111.0,2099-00-00 99:99,,Islington,4887.0,81.159549971111,7.0,,Wet,46596.0
112.0,TBD,,Camden,2809.0,39.37244412268293,5.0,,Snowy,3743.0
113.0,2024-01-05 16:00,London,,4577.0,9.156935099362148,0.0,Medium,Snowy,6813.0
114.0,TBD,London,Camden,3968.0,11.129575443425253,8.0,Low,Damaged,1415.0
115.0,05/01/2024 06PM,London,Camden,4520.0,100.56726594746884,9.0,Low,Wet,7324.0
116.0,2024-01-05T19:00Z,,Camden,2363.0,103.1379473975038,27.0,High,Wet,5407.0
117.0,2099-00-00 99:99,,Islington,19.0,17.47821185460159,1.0,High,,7427.0
118.0,2024-01-05T21:00Z,,Camden,4619.0,46.95686063229741,8.0,High,,3641.0
119.0,05/01/2024 10PM,London,Islington,23888.0,113.65573784959636,0.0,Medium,,1030.0
120.0,TBD,,Chelsea,88.0,6.363109450094953,5.0,,Snowy,510.0
121.0,2024-01-06 00:00,,Kensington,3329.0,43.147035666864205,0.0,Medium,,5459.0
122.0,06/01/2024 01AM,,Southwark,1779.0,66.08849769712033,4.0,Low,Damaged,918.0
123.0,TBD,,Islington,3788.0,-9.017863662181073,1.0,Medium,,7524.0
124.0,2024-01-06T03:00Z,,Camden,1809.0,49.50883835651292,,High,Damaged,3867.0
125.0,TBD,,Chelsea,1228.0,-9.921693096106912,,Low,Dry,7871.0
126.0,2024-01-06T05:00Z,,Kensington,4986.0,50.17577471662482,0.0,Low,Wet,4805.0
127.0,2024-01-06 06:00,,Islington,1169.0,33.61886499208616,2.0,Low,,3054.0
128.0,2024-01-06 07:00,London,Kensington,3670.0,-17.0136663710282,21.0,Low,,2036.0
129.0,06/01/2024 08AM,,Islington,2270.0,35.9623545725299,5.0,,Damaged,4414.0
130.0,06/01/2024 09AM,London,Kensington,3388.0,,0.0,High,Snowy,5306.0
131.0,2024-01-06T10:00Z,,,20859.0,62.59371600267563,9.0,Medium,Dry,3774.0
132.0,2099-00-00 99:99,,Camden,4757.0,73.39645332714676,3.0,,Wet,
133.0,TBD,London,Camden,,71.39394556861072,2.0,High,,8042.0
,2099-00-00 99:99,London,Islington,3635.0,59.17265329845109,,High,Snowy,4175.0
135.0,06/01/2024 02PM,,Islington,3931.0,39.403495877885256,1.0,,,793.0
136.0,2099-00-00 99:99,London,,21562.0,67.32839796394785,4.0,Low,,39720.0
137.0,06/01/2024 04PM,London,Southwark,3535.0,109.07328061171297,0.0,,Damaged,5005.0
138.0,06/01/2024 05PM,London,Camden,4813.0,78.40300168475456,0.0,High,Damaged,6445.0
139.0,TBD,,Islington,26526.0,,5.0,,,3355.0
140.0,TBD,,Chelsea,21041.0,99.06152262276305,7.0,Medium,,7013.0
141.0,2099-00-00 99:99,,Chelsea,1247.0,49.81893658471436,3.0,,,819.0
142.0,2024-01-06 21:00,,Camden,1914.0,38.45194439992197,7.0,,,2833.0
143.0,2024-01-06 22:00,London,Camden,3170.0,80.05735927500334,3.0,Medium,Snowy,1004.0
144.0,2099-00-00 99:99,,Chelsea,12436.0,7.682362304414551,2.0,Medium,Wet,4597.0
145.0,07/01/2024 12AM,London,Kensington,3751.0,17.35468401232353,1.0,Medium,,8360.0
146.0,2024-01-07T01:00Z,,,16924.0,90.98192542027616,7.0,High,,1896.0
147.0,TBD,,Camden,3709.0,43.27819246256104,5.0,,Damaged,5401.0
148.0,07/01/2024 03AM,,Islington,4016.0,99.1055227556722,5.0,Medium,,8577.0
149.0,2024-01-07T04:00Z,London,Kensington,3822.0,29.728281902564287,3.0,,Snowy,1140.0
150.0,2024-01-07T05:00Z,,Camden,2367.0,85.4846018105373,8.0,High,Damaged,6772.0
151.0,07/01/2024 06AM,,Chelsea,4320.0,25.88806455260641,1.0,Medium,Damaged,2373.0
152.0,07/01/2024 07AM,,Camden,18006.0,63.596092982931296,6.0,High,Damaged,3691.0
153.0,2024-01-07 08:00,London,Kensington,16579.0,59.40444622524676,5.0,Low,Damaged,6310.0
154.0,TBD,London,Islington,451.0,34.85745776859741,0.0,,Wet,7712.0
155.0,TBD,London,Southwark,4193.0,26.155181111736603,9.0,,Damaged,3673.0
156.0,2024-01-07 11:00,London,,1128.0,110.07559475073433,4.0,Medium,Dry,2207.0
157.0,2024-01-07 12:00,London,Kensington,1402.0,18.072817813073215,2.0,,Damaged,7730.0
158.0,07/01/2024 01PM,London,Kensington,3865.0,38.193522187897905,7.0,High,,
159.0,TBD,,Southwark,867.0,98.72509883720723,5.0,Low,Dry,6000.0
160.0,2024-01-07T15:00Z,London,,600.0,64.99090548963619,6.0,,Damaged,8740.0
161.0,07/01/2024 04PM,,,176.0,84.65337972284243,7.0,Medium,Snowy,1234.0
162.0,2099-00-00 99:99,,Southwark,12705.0,-7.451619349958538,2.0,Medium,Dry,4841.0
163.0,2099-00-00 99:99,,,870.0,56.17471593389087,4.0,Low,Dry,7807.0
164.0,07/01/2024 07PM,,Southwark,1611.0,,4.0,High,,2139.0
165.0,TBD,,Kensington,4721.0,26.517709398093753,32.0,Medium,Wet,1730.0
166.0,2024-01-07 21:00,,Camden,3116.0,27.133480990546424,0.0,Medium,Damaged,3760.0
167.0,2024-01-07T22:00Z,,,4939.0,3.0400690196500157,,Low,Dry,1061.0
168.0,07/01/2024 11PM,London,Islington,18723.0,68.9025235239557,2.0,Low,Damaged,3271.0
169.0,2024-01-08 00:00,,Southwark,4099.0,23.308758218708704,1.0,,Snowy,6504.0
170.0,2024-01-08 01:00,,Southwark,227.0,-15.878216066767312,1.0,,,1533.0
171.0,2024-01-08 02:00,,Southwark,3047.0,72.68753679237909,9.0,Medium,Wet,5354.0
172.0,2024-01-08 03:00,London,Camden,2436.0,53.43763270939289,6.0,High,,20625.0
173.0,2024-01-08T04:00Z,London,,1493.0,119.78559995897692,4.0,,Damaged,1094.0
174.0,2024-01-08T05:00Z,,Chelsea,3927.0,92.57773233927824,0.0,,Wet,5867.0
175.0,TBD,London,Islington,4389.0,100.92094410262771,7.0,,Damaged,7643.0
176.0,TBD,,Chelsea,3548.0,64.15247267096446,4.0,Medium,Damaged,1552.0
177.0,2024-01-08 08:00,London,Chelsea,3404.0,-4.190111703746487,9.0,High,Damaged,2743.0
178.0,08/01/2024 09AM,,Islington,3615.0,66.66803397958205,30.0,,Damaged,5866.0
179.0,08/01/2024 10AM,,Southwark,2720.0,15.132947639287087,5.0,Medium,Wet,44642.0
180.0,2024-01-08 11:00,,Kensington,4090.0,-6.090174364490288,6.0,,Wet,7031.0
181.0,,London,Southwark,4090.0,16.343283064865616,5.0,,Snowy,35943.0
182.0,08/01/2024 01PM,London,Southwark,1521.0,58.46862593835983,0.0,,,1625.0
183.0,2024-01-08T14:00Z,,Chelsea,900.0,99.4024157576295,7.0,,Damaged,5036.0
184.0,TBD,London,Camden,4144.0,56.06606563557897,2.0,High,Wet,2104.0
185.0,TBD,London,Chelsea,13036.0,8.609351592999431,9.0,,Snowy,662.0
186.0,,London,Islington,1827.0,114.46583402770587,6.0,,Dry,7066.0
187.0,2024-01-08 18:00,London,,3591.0,113.29328708638889,7.0,Low,Wet,995.0
188.0,2024-01-08T19:00Z,,,4766.0,34.25098990520084,4.0,Low,,8168.0
189.0,TBD,,Kensington,463.0,53.93477272126067,7.0,,Dry,5662.0
190.0,TBD,London,Islington,1660.0,111.52892972311439,9.0,,Snowy,1268.0
191.0,2099-00-00 99:99,London,Kensington,3305.0,15.417739825688933,5.0,High,Snowy,2487.0
192.0,2024-01-08 23:00,London,Kensington,3945.0,115.90971749256734,1.0,Medium,Snowy,5425.0
193.0,2024-01-09T00:00Z,,Chelsea,3043.0,70.92106975082189,9.0,High,,4937.0
194.0,2099-00-00 99:99,,,2486.0,113.32839118839198,6.0,High,Snowy,45191.0
195.0,TBD,,Kensington,17315.0,87.43439426851737,7.0,,Wet,2448.0
196.0,2099-00-00 99:99,London,Kensington,4829.0,105.48333583871668,8.0,,,10690.0
197.0,2024-01-09 04:00,,Chelsea,1950.0,77.49911991269641,4.0,,Dry,8243.0
198.0,09/01/2024 05AM,London,Southwark,29941.0,31.052751146040404,0.0,Medium,Dry,7740.0
199.0,TBD,,,1269.0,24.837066812946176,0.0,,,17254.0
200.0,2024-01-09 07:00,,Camden,16383.0,7.506867457924305,4.0,,,6242.0
201.0,09/01/2024 08AM,London,Chelsea,207.0,117.67015977903645,6.0,High,Snowy,3084.0
202.0,2024-01-09 09:00,London,,485.0,34.13715963322419,9.0,,,2938.0
203.0,2024-01-09 10:00,,Camden,930.0,54.53941180539008,9.0,,Wet,4277.0
204.0,2024-01-09T11:00Z,London,Kensington,2974.0,73.93787928189434,9.0,Low,Snowy,1912.0
205.0,,London,Islington,2923.0,58.006428718033526,8.0,Medium,Snowy,3757.0
206.0,2099-00-00 99:99,,,3476.0,63.742567634886086,2.0,Low,,8559.0
207.0,2024-01-09 14:00,,Southwark,466.0,-10.459431755496723,0.0,Low,Dry,7942.0
208.0,TBD,London,Camden,26879.0,77.41354328889682,0.0,Medium,Dry,6690.0
209.0,TBD,,Southwark,2150.0,51.67610384834834,5.0,Low,Snowy,1142.0
210.0,2024-01-09T17:00Z,,Islington,4058.0,106.07734471390721,6.0,,Damaged,4951.0
211.0,09/01/2024 06PM,London,,,94.5792828931564,8.0,,Damaged,3576.0
212.0,2099-00-00 99:99,London,Islington,1151.0,92.3598505115793,3.0,,Dry,2030.0
213.0,2024-01-09 20:00,,Southwark,51.0,104.40015115199293,6.0,Low,Dry,6621.0
214.0,TBD,London,Southwark,23544.0,109.8771115692727,7.0,High,Dry,8665.0
215.0,TBD,,,1094.0,98.81738298946578,5.0,Medium,Damaged,2789.0
216.0,2099-00-00 99:99,,,15946.0,7.851051282833703,3.0,Medium,,7759.0
217.0,10/01/2024 12AM,London,Camden,3313.0,78.32907513851215,4.0,,Dry,
218.0,TBD,London,Islington,1625.0,25.113340429818635,8.0,High,Dry,107.0
219.0,2024-01-10 02:00,London,Islington,95.0,4.4962931311324805,3.0,High,Snowy,1597.0
220.0,2024-01-10T03:00Z,London,Camden,3642.0,16.536030543065394,5.0,,Damaged,36933.0
221.0,2024-01-10 04:00,,Southwark,4602.0,102.27784537554355,8.0,Medium,,37490.0
222.0,2024-01-10 05:00,,Camden,4009.0,22.733676729669465,55.0,High,Snowy,6211.0
223.0,TBD,London,Chelsea,2746.0,87.33649804668553,8.0,Medium,Wet,3191.0
224.0,10/01/2024 07AM,,Islington,3905.0,115.53754593672942,3.0,Low,Dry,4736.0
225.0,10/01/2024 08AM,London,Kensington,4413.0,18.62668602290907,3.0,,Dry,660.0
226.0,10/01/2024 09AM,,Southwark,,10.3060313193233,9.0,Low,Damaged,6480.0
227.0,2024-01-10T10:00Z,,Camden,4175.0,70.20495839669329,9.0,Low,Damaged,26332.0
228.0,TBD,London,Camden,497.0,,6.0,Medium,Snowy,8812.0
229.0,2099-00-00 99:99,London,Camden,3792.0,23.085988625941503,3.0,Medium,Damaged,877.0
,2024-01-10 13:00,London,Kensington,3000.0,80.98838687690626,1.0,,Dry,7028.0
231.0,2099-00-00 99:99,London,Islington,3568.0,65.63798816463851,5.0,Medium,Wet,5453.0
232.0,TBD,,Camden,1132.0,29.902029919469843,1.0,,Dry,34303.0
233.0,10/01/2024 04PM,,Southwark,3872.0,39.32932142112519,5.0,,Wet,41034.0
234.0,TBD,,Camden,27761.0,14.050255437085577,8.0,High,,6029.0
235.0,TBD,,Kensington,2804.0,102.4492216628158,8.0,,Wet,2389.0
236.0,2024-01-10 19:00,,,2560.0,15.267951314735553,5.0,,Dry,1939.0
237.0,2099-00-00 99:99,London,Camden,661.0,37.47235350491365,0.0,High,Damaged,48598.0
238.0,TBD,London,Camden,2220.0,29.798469383859032,5.0,,Dry,641.0
239.0,10/01/2024 10PM,London,,862.0,117.18866713515067,58.0,Low,,1251.0
240.0,10/01/2024 11PM,,,142.0,102.09729450865554,,Low,Dry,4710.0
241.0,TBD,,Southwark,1607.0,99.51670737342657,51.0,,,24699.0
242.0,2099-00-00 99:99,London,Islington,1427.0,67.43204789005804,6.0,Medium,Wet,2488.0
243.0,2024-01-11T02:00Z,,,394.0,96.84405234946033,8.0,Low,Dry,8788.0
244.0,TBD,,Islington,19456.0,10.786052987329498,4.0,High,,7905.0
,TBD,London,Camden,4861.0,54.580789040758106,4.0,Medium,,1713.0
246.0,TBD,,Kensington,3598.0,-1.1283178817498118,7.0,Medium,Damaged,2759.0
247.0,2024-01-11 06:00,,Southwark,3969.0,27.3421975119457,3.0,Medium,Dry,7311.0
248.0,2024-01-11 07:00,,,3188.0,118.06608763537193,0.0,,Damaged,4405.0
249.0,TBD,,Chelsea,408.0,-15.845182833303035,5.0,Medium,,8086.0
250.0,2024-01-11T09:00Z,,Camden,4553.0,,9.0,Low,Dry,6460.0
251.0,2099-00-00 99:99,,Kensington,2211.0,106.98486218443762,2.0,Medium,Wet,4739.0
252.0,2024-01-11 11:00,London,Camden,3995.0,22.522434932960635,1.0,High,,5004.0
253.0,2099-00-00 99:99,,Camden,817.0,57.91751299768526,5.0,Low,,6261.0
254.0,2024-01-11 13:00,,Camden,809.0,74.97697839341915,3.0,Low,Snowy,697.0
255.0,,London,,2724.0,10.03032533620264,4.0,Low,,3467.0
256.0,2024-01-11T15:00Z,,Chelsea,3462.0,-6.912121736943343,2.0,,Wet,6596.0
257.0,11/01/2024 04PM,,,25204.0,74.969148499334,,Low,Wet,2547.0
258.0,2024-01-11T17:00Z,,Camden,120.0,119.13188481278473,4.0,Low,Damaged,2647.0
259.0,2024-01-11 18:00,,,4212.0,-9.056695374845345,7.0,High,Snowy,38509.0
260.0,2024-01-11T19:00Z,,,550.0,84.22289294537126,2.0,Medium,Dry,6858.0
261.0,TBD,London,Chelsea,2504.0,15.366630202625517,3.0,,,6293.0
,11/01/2024 09PM,London,Kensington,4524.0,72.72485700013297,,Low,Snowy,5664.0
263.0,2099-00-00 99:99,London,Islington,3473.0,12.786528495413489,8.0,Medium,Snowy,1015.0
264.0,11/01/2024 11PM,London,Southwark,745.0,22.019680232600557,0.0,High,Snowy,3277.0
265.0,TBD,,Chelsea,3543.0,-12.4010359300723,5.0,Medium,Wet,6305.0
,2099-00-00 99:99,,Southwark,2367.0,-18.8021827085779,1.0,Medium,Dry,654.0
267.0,2024-01-12T02:00Z,,Islington,2212.0,97.19802346098065,6.0,High,Damaged,2424.0
268.0,12/01/2024 03AM,London,Islington,2541.0,95.7938992627256,0.0,High,Dry,3448.0
269.0,2099-00-00 99:99,,,2795.0,15.531112109460835,,,Wet,5089.0
270.0,2099-00-00 99:99,,Islington,332.0,103.40206801524924,2.0,,,8564.0
271.0,2099-00-00 99:99,London,,2590.0,6.059231275575158,6.0,Medium,Dry,1954.0
272.0,TBD,,Southwark,3046.0,102.9855543199777,25.0,,Dry,7048.0
273.0,2024-01-12 08:00,London,,4176.0,28.592287021325234,3.0,High,Damaged,
274.0,TBD,London,Camden,1923.0,107.34996859613426,1.0,,,2361.0
275.0,2099-00-00 99:99,,,2943.0,106.05292503648229,4.0,Medium,Damaged,8845.0
276.0,2099-00-00 99:99,London,Camden,4144.0,38.113694792112405,8.0,,Dry,1516.0
277.0,12/01/2024 12PM,,Islington,1271.0,98.50463393279942,3.0,High,Dry,6493.0
278.0,2024-01-12T13:00Z,,,3746.0,23.33941507782119,7.0,Low,Damaged,2285.0
279.0,2024-01-12T14:00Z,London,Kensington,4119.0,78.2323493929796,5.0,High,Wet,2789.0
280.0,2024-01-12 15:00,London,Chelsea,4009.0,80.45386294283111,2.0,Medium,,5860.0
281.0,2024-01-12 16:00,London,Chelsea,4381.0,114.59017548406626,6.0,Medium,Dry,2554.0
282.0,12/01/2024 05PM,,Kensington,2620.0,109.73727966531241,4.0,High,Snowy,4953.0
283.0,TBD,London,Kensington,20837.0,64.79793284306294,5.0,Medium,Damaged,2533.0
284.0,12/01/2024 07PM,London,Southwark,2311.0,46.8250950696975,8.0,,Snowy,6318.0
285.0,2024-01-12 20:00,,Kensington,1765.0,51.98742768856581,5.0,Low,Dry,1397.0
286.0,2024-01-12T21:00Z,,,802.0,86.93177614103452,4.0,Medium,,5214.0
287.0,12/01/2024 10PM,,Southwark,68.0,90.3962127907493,30.0,,,7497.0
288.0,TBD,London,Islington,552.0,116.52565758783531,6.0,Low,Damaged,1269.0
289.0,2024-01-13 00:00,,Chelsea,16718.0,61.84237449289384,31.0,High,Wet,6062.0
290.0,2099-00-00 99:99,London,,1759.0,5.827137901705683,0.0,High,,3961.0
291.0,2099-00-00 99:99,,Camden,4719.0,71.17731142137899,9.0,High,,6118.0
292.0,TBD,London,Chelsea,2893.0,57.37266254337783,5.0,,,8680.0
293.0,13/01/2024 04AM,,Kensington,1017.0,98.72514252666774,5.0,Medium,Dry,6671.0
294.0,2099-00-00 99:99,London,Chelsea,1017.0,34.16821066382636,2.0,High,Wet,18739.0
295.0,2024-01-13 06:00,London,Southwark,123.0,102.67245344116402,8.0,,Wet,3228.0
296.0,TBD,London,Southwark,2335.0,71.67515328493067,,,,262.0
297.0,2099-00-00 99:99,London,Chelsea,3979.0,-16.621327581098377,6.0,High,,7821.0
,2024-01-13 09:00,London,Chelsea,917.0,101.71811405215198,3.0,,,1851.0
299.0,TBD,,,41.0,33.36727621056845,8.0,High,,2792.0
300.0,2024-01-13 11:00,London,Southwark,20909.0,62.12335488103138,3.0,Low,Dry,25582.0
